# atom_fire_audit — 79 atoms × 4749 envelopes (4749 successful Synthesize runs)

atom_id                                             count  fires-on (sample / full)
export                                                  1  [export-active/container]
bootstrap-classic-plan-dynamic                          2  [bootstrap/container/classic/discover/svc-dynamic bootstrap/local/classic/discover/svc-dynamic]
bootstrap-classic-plan-static                           2  [bootstrap/container/classic/discover/svc-static bootstrap/local/classic/discover/svc-static]
bootstrap-resume                                        2  [idle/container/incomplete idle/local/incomplete]
develop-closed-auto                                     2  [develop-closed-auto/container develop-closed-auto/local]
idle-adopt-entry                                        2  [idle/container/adopt idle/local/adopt]
idle-bootstrap-entry                                    2  [idle/container/empty idle/local/empty]
idle-develop-entry                                      2  [idle/container/bootstrapped idle/local/bootstrapped]
idle-orphan-cleanup                                     2  [idle/container/orphan idle/local/orphan]
strategy-push-git-intro                                 2  [strategy-setup/container/push-git/unset strategy-setup/local/push-git/unset]
strategy-push-git-trigger-actions                       2  [strategy-setup/container/push-git/actions strategy-setup/local/push-git/actions]
strategy-push-git-trigger-webhook                       2  [strategy-setup/container/push-git/webhook strategy-setup/local/push-git/webhook]
strategy-push-git-push-container                        3  [strategy-setup/container/push-git/actions strategy-setup/container/push-git/unset strategy-setup/container/push-git/webhook]
strategy-push-git-push-local                            3  [strategy-setup/local/push-git/actions strategy-setup/local/push-git/unset strategy-setup/local/push-git/webhook]
bootstrap-adopt-discover                               10  [bootstrap/container/adopt/discover/no-svc bootstrap/container/adopt/discover/svc-dynamic bootstrap/container/adopt/discover/svc-implicit-webserver bootstrap/container/adopt/discover/svc-managed bootstrap/container/adopt/discover/svc-static ... +5 more]
bootstrap-recipe-close                                 10  [bootstrap/container/recipe/close/no-svc bootstrap/container/recipe/close/svc-dynamic bootstrap/container/recipe/close/svc-implicit-webserver bootstrap/container/recipe/close/svc-managed bootstrap/container/recipe/close/svc-static ... +5 more]
bootstrap-recipe-import                                10  [bootstrap/container/recipe/provision/no-svc bootstrap/container/recipe/provision/svc-dynamic bootstrap/container/recipe/provision/svc-implicit-webserver bootstrap/container/recipe/provision/svc-managed bootstrap/container/recipe/provision/svc-static ... +5 more]
bootstrap-recipe-match                                 10  [bootstrap/container/recipe/discover/no-svc bootstrap/container/recipe/discover/svc-dynamic bootstrap/container/recipe/discover/svc-implicit-webserver bootstrap/container/recipe/discover/svc-managed bootstrap/container/recipe/discover/svc-static ... +5 more]
bootstrap-route-options                                10  [idle/container/adopt idle/container/bootstrapped idle/container/empty idle/container/incomplete idle/container/orphan ... +5 more]
bootstrap-runtime-classes                              10  [bootstrap/container/classic/discover/no-svc bootstrap/container/classic/discover/svc-dynamic bootstrap/container/classic/discover/svc-implicit-webserver bootstrap/container/classic/discover/svc-managed bootstrap/container/classic/discover/svc-static ... +5 more]
bootstrap-wait-active                                  10  [bootstrap/container/classic/provision/no-svc bootstrap/container/classic/provision/svc-dynamic bootstrap/container/classic/provision/svc-implicit-webserver bootstrap/container/classic/provision/svc-managed bootstrap/container/classic/provision/svc-static ... +5 more]
bootstrap-discover-local                               20  [bootstrap/local/adopt/discover/no-svc bootstrap/local/adopt/discover/svc-dynamic bootstrap/local/adopt/discover/svc-implicit-webserver bootstrap/local/adopt/discover/svc-managed bootstrap/local/adopt/discover/svc-static ... +15 more]
bootstrap-env-var-discovery                            20  [bootstrap/container/adopt/provision/no-svc bootstrap/container/adopt/provision/svc-dynamic bootstrap/container/adopt/provision/svc-implicit-webserver bootstrap/container/adopt/provision/svc-managed bootstrap/container/adopt/provision/svc-static ... +15 more]
bootstrap-mode-prompt                                  20  [bootstrap/container/adopt/discover/no-svc bootstrap/container/adopt/discover/svc-dynamic bootstrap/container/adopt/discover/svc-implicit-webserver bootstrap/container/adopt/discover/svc-managed bootstrap/container/adopt/discover/svc-static ... +15 more]
bootstrap-provision-local                              20  [bootstrap/local/adopt/provision/no-svc bootstrap/local/adopt/provision/svc-dynamic bootstrap/local/adopt/provision/svc-implicit-webserver bootstrap/local/adopt/provision/svc-managed bootstrap/local/adopt/provision/svc-static ... +15 more]
bootstrap-provision-rules                              20  [bootstrap/container/adopt/provision/no-svc bootstrap/container/adopt/provision/svc-dynamic bootstrap/container/adopt/provision/svc-implicit-webserver bootstrap/container/adopt/provision/svc-managed bootstrap/container/adopt/provision/svc-static ... +15 more]
bootstrap-close                                        40  [bootstrap/container/adopt/close/no-svc bootstrap/container/adopt/close/svc-dynamic bootstrap/container/adopt/close/svc-implicit-webserver bootstrap/container/adopt/close/svc-managed bootstrap/container/adopt/close/svc-static ... +35 more]
bootstrap-verify                                       40  [bootstrap/container/adopt/close/no-svc bootstrap/container/adopt/close/svc-dynamic bootstrap/container/adopt/close/svc-implicit-webserver bootstrap/container/adopt/close/svc-managed bootstrap/container/adopt/close/svc-static ... +35 more]
develop-close-push-dev-dev                             48  [develop/container/dev/push-dev/actions/dynamic/dep=true/st=ACTIVE develop/container/dev/push-dev/actions/dynamic/dep=true/st=DEPLOYING develop/container/dev/push-dev/actions/dynamic/dep=true/st=READY_TO_DEPLOY develop/container/dev/push-dev/actions/dynamic/dep=true/st=_ develop/container/dev/push-dev/actions/implicit-webserver/dep=true/st=ACTIVE ... +43 more]
develop-push-dev-workflow-dev                          48  [develop/container/dev/push-dev/actions/dynamic/dep=true/st=ACTIVE develop/container/dev/push-dev/actions/dynamic/dep=true/st=DEPLOYING develop/container/dev/push-dev/actions/dynamic/dep=true/st=READY_TO_DEPLOY develop/container/dev/push-dev/actions/dynamic/dep=true/st=_ develop/container/dev/push-dev/actions/implicit-webserver/dep=true/st=ACTIVE ... +43 more]
develop-push-dev-workflow-simple                       48  [develop/container/simple/push-dev/actions/dynamic/dep=true/st=ACTIVE develop/container/simple/push-dev/actions/dynamic/dep=true/st=DEPLOYING develop/container/simple/push-dev/actions/dynamic/dep=true/st=READY_TO_DEPLOY develop/container/simple/push-dev/actions/dynamic/dep=true/st=_ develop/container/simple/push-dev/actions/implicit-webserver/dep=true/st=ACTIVE ... +43 more]
develop-close-push-dev-standard                        49  [develop/container/multi/mixed-deploy develop/container/standard/push-dev/actions/dynamic/dep=true/st=ACTIVE develop/container/standard/push-dev/actions/dynamic/dep=true/st=DEPLOYING develop/container/standard/push-dev/actions/dynamic/dep=true/st=READY_TO_DEPLOY develop/container/standard/push-dev/actions/dynamic/dep=true/st=_ ... +44 more]
develop-close-push-dev-local                           96  [develop/local/dev/push-dev/actions/dynamic/dep=true/st=ACTIVE develop/local/dev/push-dev/actions/dynamic/dep=true/st=DEPLOYING develop/local/dev/push-dev/actions/dynamic/dep=true/st=READY_TO_DEPLOY develop/local/dev/push-dev/actions/dynamic/dep=true/st=_ develop/local/dev/push-dev/actions/implicit-webserver/dep=true/st=ACTIVE ... +91 more]
