plans/adopt-route-auto-derive-plan-2026-06-01.md | archive | DONE-CLAIMED
plans/ales-handoff-2026-05-16.md | archive | DONE-CLAIMED
plans/api-validation-plumbing.md | archive | DONE-VERIFIED
plans/atom-corpus-context-trim-2026-04-26.md | archive | DONE-VERIFIED
plans/atom-corpus-hygiene-2026-04-26.md | archive | DONE-VERIFIED
plans/audit-fixes-plan-2026-06-10.md | archive | DONE-CLAIMED
plans/audit-mcp-tools-2026-06-09.md | archive | SUPERSEDED-BY:plans/audit-fixes-plan-2026-06-10.md
plans/b2-recipe-yaml-handoff-2026-06-08.md | archive | DONE-CLAIMED
plans/bootstrap-restore-four-goals-2026-06-02.md | archive | SUPERSEDED-BY:plans/zcp-consolidation-2026-06-04.md
plans/codex-review-floweval-plan-2026-06-05.md | archive | SUPERSEDED-BY:plans/flow-eval-fix-master-plan-2026-06-05.md
plans/converge-knowledge-retrieval-format-2026-06-04.md | archive | DONE-VERIFIED
plans/dataconsole-ui-validation-program-2026-07-17.md | keep-active | ACTIVE
plans/delivery-model-final-plan-2026-06-09.md | archive | SUPERSEDED-BY:plans/expected-state-contract-decision-2026-06-17.md
plans/delivery-model-foundations-verdict-2026-06-09.md | archive | SUPERSEDED-BY:plans/expected-state-contract-decision-2026-06-17.md
plans/deploy-config-central-point.md | archive | DONE-VERIFIED
plans/deploy-gate-category-error-2026-06-04.md | archive | DONE-VERIFIED
plans/discover-adoption-state-enum-2026-05-27.codex-review-v2.md | archive | SUPERSEDED-BY:plans/discover-adoption-state-enum-2026-05-27.md
plans/discover-adoption-state-enum-2026-05-27.codex-review.md | archive | SUPERSEDED-BY:plans/discover-adoption-state-enum-2026-05-27.codex-review-v2.md
plans/discover-adoption-state-enum-2026-05-27.md | archive | DONE-VERIFIED
plans/e2e-eval-surface-consolidation-2026-06-16.md | archive | SUPERSEDED-BY:plans/test-eval-consolidation-impl-2026-06-16.md
plans/engine-atom-rendering-improvements-2026-04-27.md | archive | DONE-CLAIMED
plans/env-lifecycle-fundamental-fixes-2026-05-28.md | archive | DONE-CLAIMED
plans/env-shadow-httpport-utility-recipe-2026-05-27.md | archive | SUPERSEDED-BY:plans/zcp-env-appversion-2026-05-28.md
plans/eval-audit-2026-05-13.md | archive | SUPERSEDED-BY:plans/e2e-eval-surface-consolidation-2026-06-16.md
plans/eval-behavioral-findings-poc-2026-05-03.md | archive | DONE-CLAIMED
plans/eval-feedback-gitpush-launchprod-2026-06-17.md | archive | DONE-VERIFIED
plans/eval-phase1-5-develop-iteration-scenarios-2026-04-30.md | archive | DONE-CLAIMED
plans/eval-scenarios.md | archive | SUPERSEDED-BY:plans/e2e-eval-surface-consolidation-2026-06-16.md
plans/expected-state-contract-decision-2026-06-17.md | archive | DONE-VERIFIED
plans/export-workflow.md | archive | DONE-VERIFIED
plans/f3-f4-deep-dive-2026-04-24.md | archive | SUPERSEDED-BY:plans/friction-root-causes.md
plans/flow-adoption-2026-07-16.md | keep-active | ACTIVE
plans/flow-eval-battery-2026-06-04.md | archive | SUPERSEDED-BY:plans/flow-eval-friction-report-2026-06-05.md
plans/flow-eval-fix-master-plan-2026-06-05.md | archive | DONE-CLAIMED
plans/flow-eval-followup-fixes-2026-05-03.md | archive | DONE-CLAIMED
plans/flow-eval-friction-report-2026-06-05.md | archive | SUPERSEDED-BY:plans/flow-eval-fix-master-plan-2026-06-05.md
plans/flow-eval-top3-fixes-2026-05-03.md | archive | DONE-CLAIMED
plans/flow-eval-usersim-2026-05-04.md | archive | DONE-CLAIMED
plans/friction-audit-2026-04-24.md | archive | DONE-VERIFIED
plans/friction-root-causes.md | archive | DONE-VERIFIED
plans/git-contract-2026-07-12.md | keep-active | ACTIVE
plans/git-delivery-foundations-2026-06-10.md | archive | SUPERSEDED-BY:plans/spec-git-delivery-target-2026-06-10.md
plans/git-push-deploy-flow-redesign-2026-05-19.md | archive | SUPERSEDED-BY:plans/git-push-flow-systemic-fix-2026-05-23.md
plans/git-push-flow-systemic-fix-2026-05-23.md | archive | SUPERSEDED-BY:plans/git-delivery-foundations-2026-06-10.md
plans/git-sdlc-review-2026-07-12.md | keep-active | ACTIVE
plans/guide-llm-optimality-2026-06-02.md | archive | DONE-CLAIMED
plans/in-flight-experiments.md | keep-active | ACTIVE
plans/instruction-delivery-rewrite.md | archive | DONE-VERIFIED
plans/instruction-surfaces-refactor.md | archive | DONE-VERIFIED
plans/knowledge-architecture-unification-2026-06-03.md | keep-active | ACTIVE
plans/laravel-session-findings-2026-05-19.md | archive | DONE-CLAIMED
plans/launch-production-finalization-audit-2026-06-16.md | archive | DONE-VERIFIED
plans/local-flow-recipes-env-sync-2026-05-07.md | archive | DONE-CLAIMED
plans/logging-investigation.findings.md | archive | SUPERSEDED-BY:plans/logging-refactor.md
plans/logging-investigation.md | archive | SUPERSEDED-BY:plans/logging-refactor.md
plans/logging-refactor.md | archive | DONE-VERIFIED
plans/minor-findings-rootcause-2026-06-17.md | archive | DONE-VERIFIED
plans/multi-agent-container-support-2026-05-22.md | archive | DONE-CLAIMED
plans/multi-file-briefs.md | archive | DONE-CLAIMED
plans/multi-runtime-audit-followup.md | archive | STALE-90D
plans/nonauthoring-context-audit-2026-06-13.md | archive | DONE-CLAIMED
plans/open-findings-resolution-2026-04-26.md | archive | DONE-CLAIMED
plans/open-work-compact-2026-06-09.md | archive | SUPERSEDED-BY:plans/delivery-model-final-plan-2026-06-09.md
plans/plan-pipeline-repair.md | archive | DONE-VERIFIED
plans/postrelease-transcript-rootcause-2026-06-02.md | archive | SUPERSEDED-BY:plans/bootstrap-restore-four-goals-2026-06-02.md
plans/r2-single-owner-verification-2026-06-04.md | archive | DONE-VERIFIED
plans/r3-p4-recipe-derive-spec-2026-06-04.md | archive | DONE-VERIFIED
plans/r3-recipe-shape-impl-2026-06-04.md | archive | SUPERSEDED-BY:plans/r3-p4-recipe-derive-spec-2026-06-04.md
plans/real-bugs-response-audit-2026-06-05.md | archive | DONE-CLAIMED
plans/recipe-customize-2026-05-24.md | archive | DONE-CLAIMED
plans/run-28-fixes-2026-05-06.md | archive | DONE-VERIFIED
plans/run-29-fixes-2026-05-06.md | archive | DONE-VERIFIED
plans/run-29-prep-url-rename-2026-05-06.md | archive | DONE-VERIFIED
plans/run-32-content-quality-deep-diagnosis.md | archive | DONE-VERIFIED
plans/run-32-content-quality-handoff-iter-2.md | archive | DONE-VERIFIED
plans/run-32-content-quality-handoff.md | archive | DONE-VERIFIED
plans/run-32-content-quality-overhaul-2026-05-08.md | archive | DONE-VERIFIED
plans/run-32-iteration-cost-fixes-2026-05-08.md | archive | DONE-VERIFIED
plans/run-32-phase-1-baselines.md | archive | DONE-VERIFIED
plans/run-32-phase-2-results.md | archive | DONE-VERIFIED
plans/run-32-phase-3-preflight-status.md | archive | DONE-VERIFIED
plans/run-32-rules-from-jetstream.md | archive | DONE-VERIFIED
plans/run-33-analysis.md | archive | DONE-VERIFIED
plans/run-33-architectural-fixes-2026-05-09.md | archive | DONE-VERIFIED
plans/run-33-defect-comparison.md | archive | DONE-VERIFIED
plans/run-33-postfixes-2-sim-report.md | archive | DONE-VERIFIED
plans/run-34-validation.md | archive | DONE-VERIFIED
plans/run-35-validation.md | archive | DONE-VERIFIED
plans/run-35-vs-jetstream.md | archive | DONE-VERIFIED
plans/run-36-validation.md | archive | DONE-VERIFIED
plans/run-37-validation.md | archive | DONE-VERIFIED
plans/run-37-vs-jetstream-placement.md | archive | DONE-VERIFIED
plans/run-38-validation.md | archive | DONE-VERIFIED
plans/run-39-reconciliation.md | archive | DONE-VERIFIED
plans/run-39-validation.md | archive | DONE-VERIFIED
plans/run-40-evidence-grounded-plan.md | archive | DONE-VERIFIED
plans/run-40-validation.md | archive | DONE-VERIFIED
plans/run-41-validation.md | archive | DONE-VERIFIED
plans/run-42-forensics.md | archive | DONE-VERIFIED
plans/run-42-validation.md | archive | DONE-VERIFIED
plans/run-43-validation.md | archive | DONE-VERIFIED
plans/run-44-validation.md | archive | DONE-VERIFIED
plans/run-45-validation.md | archive | DONE-VERIFIED
plans/run-46-substrate-design.md | archive | DONE-VERIFIED
plans/run-46-validation.md | archive | DONE-VERIFIED
plans/run-47-substrate-fixes.md | archive | DONE-VERIFIED
plans/run-47-validation.md | archive | DONE-VERIFIED
plans/run-48-validation.md | archive | DONE-VERIFIED
plans/run-49-reconcile-code-review.md | archive | DONE-VERIFIED
plans/run-49-stale-knowledge-findings.md | archive | DONE-VERIFIED
plans/run-49-validation.md | archive | DONE-VERIFIED
plans/run-50-validation.md | archive | DONE-VERIFIED
plans/run-51-validation.md | archive | DONE-VERIFIED
plans/run-52-engine-fixes.md | archive | DONE-VERIFIED
plans/run-52-validation.md | archive | DONE-VERIFIED
plans/runtime-bases-axis-and-nodejs-buildhint-2026-05-20.md | archive | DONE-CLAIMED
plans/schema-host-derivation-2026-06-02.md | archive | SUPERSEDED-BY:plans/schema-single-source-of-truth-2026-06-02.md
plans/schema-single-source-of-truth-2026-06-02-impl-map.md | archive | SUPERSEDED-BY:plans/schema-single-source-of-truth-2026-06-02.md
plans/schema-single-source-of-truth-2026-06-02.md | archive | DONE-VERIFIED
